都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),県庁所在地,風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
茨城,40041,雨,花園,ﾊﾅｿﾞﾉ,北茨城市花園,北茨城市華川町花園,36,52.1,140,38.2,370,0,−,−,#,−,−
茨城,40046,四,北茨城,ｷﾀｲﾊﾞﾗｷ,北茨城,北茨城市関南町関本下,36,50,140,46.3,5,0,9.9,1.5,#昭53.1.18,−,−
茨城,40061,四,大子,ﾀﾞｲｺﾞ,大子,久慈郡大子町大子,36,46.7,140,20.7,120,0,9.9,1.5,#昭53.1.13,−,−
茨城,40066,雨,徳田,ﾄｸﾀﾞ,常陸太田市徳田,常陸太田市徳田町,36,46.7,140,28.9,270,0,−,−,昭52.7.15,−,−
茨城,40076,雨,大能,ｵｵﾉｳ,高萩市大能,高萩市大能,36,44.6,140,35.6,395,0,−,−,昭60.6.5,−,−
茨城,40091,四,常陸大宮,ﾋﾀﾁｵｵﾐﾔ,常陸大宮市上小瀬,常陸大宮市上小瀬,36,36.4,140,19.5,95,0,6.5,1.5,昭53.12.20,−,湿度を除く
茨城,40126,雨,中野,ﾅｶﾉ,常陸太田市中野,常陸太田市中野町,36,30.9,140,28.4,17,0,−,−,昭52.7.13,−,−
茨城,40136,四,日立,ﾋﾀﾁ,日立,日立市会瀬町,36,34.8,140,38.7,34,0,10,1.5,(昭50.5.20)昭53.1.18,−,−
茨城,40181,雨,門井,ｶﾄﾞｲ,筑西市門井,筑西市門井,36,20,140,2,40,0,−,−,昭57.6.23,−,−
茨城,40191,四,笠間,ｶｻﾏ,笠間,笠間市箱田,36,23.7,140,14.4,72,0,10,1.5,#昭53.1.31,−,−
茨城,40201,官,水戸,ﾐﾄ,水戸,水戸市金町　水戸地方気象台,36,22.8,140,28,29,1,14.1,−,#昭50.3.3,40900,−
茨城,40221,四,古河,ｺｶﾞ,古河,古河市北町,36,12.1,139,43,20,0,10,1.5,#昭53.1.11,−,−
茨城,40231,四,下館,ｼﾓﾀﾞﾃ,筑西市下館,筑西市西石田,36,16.9,139,59.3,24,0,6.4,1.5,平13.12.10,−,−
茨城,40241,雨,柿岡,ｶｷｵｶ,石岡市柿岡,石岡市柿岡,36,14,140,11.3,27,0,−,−,昭50.5.20,−,−
茨城,40251,雨,美野里,ﾐﾉﾘ,小美玉市美野里,小美玉市部室,36,14.2,140,19.5,25,0,−,−,昭50.5.20,−,−
茨城,40281,四,下妻,ｼﾓﾂﾏ,下妻,下妻市二本紀,36,10.1,139,56.7,20,0,10,1.5,#昭53.1.11,−,−
茨城,40311,四,鉾田,ﾎｺﾀ,鉾田,鉾田市安房,36,10.1,140,31.6,32,0,9.9,1.5,昭53.1.31,−,−
茨城,40326,雨,坂東,ﾊﾞﾝﾄﾞｳ,坂東,坂東市辺田,36,2.1,139,53.6,16,0,−,−,#,−,−
