年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1940/1/1,0.4,7.1,-7.0
1940/1/2,-2.3,3.3,-8.8
1940/1/3,2.3,13.3,-5.0
1940/1/4,2.1,12.2,-5.7
1940/1/5,6.5,17.2,-3.9
1940/1/6,2.5,11.7,-3.9
1940/1/7,6.0,9.6,-1.5
1940/1/8,3.8,10.9,-2.8
1940/1/9,-2.2,4.6,-6.2
1940/1/10,-3.8,3.0,-11.4
1940/1/11,-2.0,7.9,-10.8
1940/1/12,1.1,13.1,-7.6
1940/1/13,5.0,12.8,-3.1
1940/1/14,2.0,10.7,-3.6
1940/1/15,-0.8,6.7,-8.8
1940/1/16,-1.0,4.8,-7.4
1940/1/17,0.5,10.1,-5.6
1940/1/18,-0.6,6.6,-9.0
1940/1/19,-0.6,7.5,-6.5
1940/1/20,1.4,7.0,-5.5
1940/1/21,-0.4,8.8,-5.8
1940/1/22,-3.1,7.9,-10.9
1940/1/23,1.3,9.2,-6.1
1940/1/24,-1.4,7.1,-9.0
1940/1/25,-3.0,7.1,-11.0
1940/1/26,-2.1,7.4,-8.2
1940/1/27,-2.4,7.5,-9.6
1940/1/28,-2.7,6.4,-11.3
1940/1/29,0.9,6.4,-2.5
1940/1/30,-1.6,8.1,-9.8
1940/1/31,-1.9,7.9,-7.8
1940/2/1,-0.6,6.7,-4.5
1940/2/2,0.8,6.3,-6.0
1940/2/3,1.8,5.0,0.3
1940/2/4,2.0,7.4,-1.8
1940/2/5,-0.6,8.0,-7.1
1940/2/6,2.1,5.7,-2.5
1940/2/7,2.3,8.5,-2.3
1940/2/8,0.5,6.2,-4.2
1940/2/9,-1.9,6.0,-7.5
1940/2/10,-2.4,7.6,-8.6
1940/2/11,1.8,10.8,-8.7
1940/2/12,5.0,11.2,-0.4
1940/2/13,4.7,5.7,2.9
1940/2/14,7.8,16.6,2.4
1940/2/15,3.5,12.5,-2.4
1940/2/16,3.4,13.7,-4.9
1940/2/17,0.3,6.5,-6.5
1940/2/18,0.3,7.1,-7.4
1940/2/19,-0.9,6.8,-10.3
1940/2/20,3.9,11.6,-1.3
1940/2/21,4.4,12.4,0.5
1940/2/22,-0.1,6.5,-3.9
1940/2/23,-1.4,7.1,-7.8
1940/2/24,0.5,12.1,-8.7
1940/2/25,1.3,7.7,-6.2
1940/2/26,3.1,7.6,-0.3
1940/2/27,3.0,8.9,-2.4
1940/2/28,3.8,14.3,-4.2
1940/2/29,0.9,10.7,-5.1
1940/3/1,1.3,3.0,-2.6
1940/3/2,1.8,12.0,-5.4
1940/3/3,2.8,13.4,-4.9
1940/3/4,7.0,16.2,-2.2
1940/3/5,7.9,14.1,0.2
1940/3/6,10.6,18.3,3.2
1940/3/7,6.2,9.0,5.2
1940/3/8,6.5,9.2,4.1
1940/3/9,7.6,9.5,5.6
1940/3/10,7.1,16.3,0.6
1940/3/11,8.5,15.7,-1.6
1940/3/12,7.4,14.0,-2.3
1940/3/13,5.3,14.7,-3.7
1940/3/14,10.0,17.4,4.0
1940/3/15,6.9,15.5,2.3
1940/3/16,4.7,12.2,0.8
1940/3/17,3.5,12.5,-2.9
1940/3/18,4.2,14.1,-4.6
1940/3/19,5.6,12.1,-1.2
1940/3/20,6.3,13.2,1.4
1940/3/21,8.3,14.9,2.2
1940/3/22,3.4,8.6,0.2
1940/3/23,1.7,11.7,-4.5
1940/3/24,3.7,15.0,-5.4
1940/3/25,4.1,14.6,-5.1
1940/3/26,7.3,15.7,2.4
1940/3/27,7.1,16.8,-0.4
1940/3/28,4.1,12.3,-3.4
1940/3/29,4.4,17.4,-6.0
1940/3/30,10.1,21.4,-2.4
1940/3/31,8.6,13.4,1.7
1940/4/1,5.3,10.0,0.7
1940/4/2,11.1,16.9,4.1
1940/4/3,17.0,18.5,12.4
1940/4/4,11.3,16.0,5.8
1940/4/5,6.8,11.0,1.3
1940/4/6,3.2,9.1,-0.8
1940/4/7,5.3,13.0,-1.5
1940/4/8,11.0,19.2,-0.7
1940/4/9,12.9,18.0,3.7
1940/4/10,6.9,18.6,-0.5
1940/4/11,12.7,25.1,-0.8
1940/4/12,12.5,21.6,4.0
1940/4/13,13.0,15.6,11.4
1940/4/14,14.0,18.8,11.4
1940/4/15,8.7,15.6,3.2
1940/4/16,10.4,18.4,3.5
1940/4/17,12.0,22.3,2.9
1940/4/18,15.6,22.3,9.5
1940/4/19,14.9,24.2,7.9
1940/4/20,11.0,19.3,4.2
1940/4/21,13.5,17.9,11.3
1940/4/22,11.1,20.9,6.7
1940/4/23,7.7,11.1,5.6
1940/4/24,9.8,15.9,2.7
1940/4/25,13.9,20.6,6.5
1940/4/26,16.3,21.8,11.5
1940/4/27,18.8,21.9,14.7
1940/4/28,9.6,17.4,4.7
1940/4/29,10.9,17.7,1.2
1940/4/30,14.4,22.6,8.1
1940/5/1,16.1,21.7,10.7
1940/5/2,18.2,24.4,12.8
1940/5/3,17.4,22.7,11.0
1940/5/4,15.6,24.7,10.6
1940/5/5,10.5,12.7,7.5
1940/5/6,11.9,19.6,5.0
1940/5/7,15.2,22.4,5.1
1940/5/8,16.0,22.3,12.5
1940/5/9,18.4,26.8,11.1
1940/5/10,11.5,17.5,6.5
1940/5/11,13.9,22.7,4.6
1940/5/12,17.5,22.8,8.6
1940/5/13,16.7,20.6,11.6
1940/5/14,12.2,21.2,4.0
1940/5/15,12.7,20.9,3.7
1940/5/16,17.4,22.7,11.5
1940/5/17,12.0,17.3,10.4
1940/5/18,14.3,21.9,7.8
1940/5/19,15.6,22.6,7.4
1940/5/20,16.6,23.7,10.7
1940/5/21,17.0,27.5,9.3
1940/5/22,19.3,30.5,8.8
1940/5/23,19.2,28.7,11.0
1940/5/24,17.0,21.5,10.9
1940/5/25,12.7,14.9,11.6
1940/5/26,13.2,18.7,7.6
1940/5/27,16.2,23.0,5.9
1940/5/28,17.1,24.8,11.4
1940/5/29,18.3,25.6,10.8
1940/5/30,19.6,25.0,13.0
1940/5/31,20.4,25.8,16.4
1940/6/1,20.0,24.3,15.9
1940/6/2,20.4,24.8,17.7
1940/6/3,20.5,25.8,16.2
1940/6/4,20.0,24.2,15.5
1940/6/5,21.5,25.1,17.5
1940/6/6,19.3,24.0,16.5
1940/6/7,20.0,26.2,16.6
1940/6/8,17.7,23.0,14.6
1940/6/9,18.3,25.3,11.9
1940/6/10,17.2,23.5,11.6
1940/6/11,19.7,26.1,13.8
1940/6/12,20.3,27.4,13.7
1940/6/13,20.4,29.1,13.3
