年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/1/1,0.9,5.6,-1.6
2020/1/2,1.1,3.5,-0.3
2020/1/3,1.3,6.3,-1.4
2020/1/4,0.2,1.2,-1.0
2020/1/5,-0.3,1.4,-1.5
2020/1/6,1.4,3.5,-1.4
2020/1/7,-0.6,3.6,-4.5
2020/1/8,2.6,8.2,0.3
2020/1/9,2.6,6.1,0.2
2020/1/10,1.1,4.1,-1.7
2020/1/11,0.3,6.4,-3.7
2020/1/12,2.7,6.6,0.2
2020/1/13,2.2,7.8,-1.0
2020/1/14,2.2,7.2,-1.3
2020/1/15,1.9,7.5,-0.8
2020/1/16,-0.1,4.0,-2.4
2020/1/17,0.3,6.4,-3.5
2020/1/18,0.8,2.8,-0.8
2020/1/19,1.8,5.7,-0.7
2020/1/20,2.0,6.2,-0.7
2020/1/21,-0.4,3.1,-3.4
2020/1/22,-1.2,5.7,-6.9
2020/1/23,2.1,4.5,-0.7
2020/1/24,4.0,9.3,0.5
2020/1/25,1.2,6.0,-0.6
2020/1/26,2.4,7.5,-1.0
2020/1/27,1.3,4.4,-1.2
2020/1/28,0.8,2.6,-0.6
2020/1/29,6.0,11.4,1.9
2020/1/30,3.6,10.0,0.4
2020/1/31,0.4,2.5,-1.0
2020/2/1,0.5,2.3,-0.9
2020/2/2,0.7,3.8,-1.9
2020/2/3,2.2,8.4,-1.9
2020/2/4,1.9,6.5,-0.4
2020/2/5,-1.3,5.5,-4.7
2020/2/6,-5.8,-4.6,-6.7
2020/2/7,-4.0,1.9,-8.4
2020/2/8,-1.8,2.9,-6.0
2020/2/9,-4.1,-2.9,-6.1
2020/2/10,-1.4,3.3,-5.9
2020/2/11,-1.4,1.5,-5.4
2020/2/12,-0.8,7.8,-8.0
2020/2/13,5.2,14.0,1.0
2020/2/14,5.7,12.4,2.6
2020/2/15,7.2,13.9,1.4
2020/2/16,5.3,10.8,1.1
2020/2/17,5.2,8.1,2.0
2020/2/18,-0.1,2.1,-1.8
2020/2/19,1.4,4.7,-1.3
2020/2/20,2.3,8.2,-2.3
2020/2/21,4.1,12.0,-1.4
2020/2/22,5.8,13.8,1.0
2020/2/23,1.2,4.0,-0.2
2020/2/24,4.4,9.0,0.4
2020/2/25,5.8,9.5,1.7
2020/2/26,3.4,7.3,1.0
2020/2/27,-1.2,1.2,-2.5
2020/2/28,-0.4,2.9,-2.4
2020/2/29,2.6,10.4,-2.6
2020/3/1,4.5,10.2,1.7
2020/3/2,3.9,5.9,1.6
2020/3/3,4.5,8.8,0.8
2020/3/4,4.2,5.8,1.8
2020/3/5,0.9,4.5,-1.6
2020/3/6,-0.2,2.7,-3.7
2020/3/7,1.0,8.5,-6.5
2020/3/8,3.4,8.6,1.0
2020/3/9,7.7,17.2,0.0
2020/3/10,9.3,12.8,5.9
2020/3/11,6.3,11.0,1.8
2020/3/12,3.6,9.1,0.6
2020/3/13,6.3,13.8,0.1
2020/3/14,2.0,3.8,0.4
2020/3/15,2.8,7.7,-0.1
2020/3/16,-0.4,3.7,-2.8
2020/3/17,2.3,8.9,-2.8
2020/3/18,5.3,11.2,0.9
2020/3/19,7.7,17.5,-0.5
2020/3/20,5.0,7.6,2.3
2020/3/21,7.2,15.0,0.2
2020/3/22,7.5,16.8,1.2
2020/3/23,4.0,7.5,0.4
2020/3/24,-0.6,1.8,-2.0
2020/3/25,2.2,7.4,-0.3
2020/3/26,6.8,17.3,-0.7
2020/3/27,9.5,17.7,1.8
2020/3/28,8.7,13.1,0.8
2020/3/29,1.1,2.5,0.2
2020/3/30,3.4,7.3,0.9
2020/3/31,6.5,12.1,2.6
