年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1990/1/1,1.4,8.6,-4.5
1990/1/2,2.4,9.4,-3.9
1990/1/3,3.0,9.0,-2.0
1990/1/4,1.9,9.0,-3.8
1990/1/5,1.9,9.6,-5.1
1990/1/6,5.6,15.4,-3.2
1990/1/7,3.1,8.3,-1.7
1990/1/8,1.8,9.8,-4.6
1990/1/9,3.2,10.2,-2.4
1990/1/10,4.8,7.3,1.7
1990/1/11,7.2,12.7,2.8
1990/1/12,5.0,9.1,2.1
1990/1/13,3.0,10.0,-1.6
1990/1/14,-0.4,4.7,-4.6
1990/1/15,2.4,8.0,-4.6
1990/1/16,0.2,2.9,-0.5
1990/1/17,0.1,5.2,-4.5
1990/1/18,1.4,6.7,-3.4
1990/1/19,3.2,6.0,0.2
1990/1/20,2.6,5.0,-0.2
1990/1/21,0.8,5.6,-3.3
1990/1/22,2.2,8.7,-3.5
1990/1/23,1.0,3.2,-1.4
1990/1/24,1.3,7.1,-4.3
1990/1/25,0.9,6.6,-4.2
1990/1/26,-0.9,4.4,-6.5
1990/1/27,-0.5,5.0,-5.6
1990/1/28,0.1,6.7,-7.0
1990/1/29,1.5,6.6,-3.0
1990/1/30,4.6,10.9,-1.1
1990/1/31,0.3,2.7,-0.6
1990/2/1,-0.2,0.1,-0.7
1990/2/2,-0.5,3.5,-5.8
1990/2/3,1.3,4.7,-2.3
1990/2/4,2.8,4.0,1.8
1990/2/5,1.6,4.2,-0.6
1990/2/6,2.7,4.9,-0.3
1990/2/7,4.6,7.5,2.2
1990/2/8,6.2,10.6,1.6
1990/2/9,3.5,6.0,0.8
1990/2/10,3.6,7.0,0.1
1990/2/11,6.6,9.2,4.1
1990/2/12,8.6,14.4,4.1
1990/2/13,5.7,10.3,1.4
1990/2/14,2.9,5.3,0.5
1990/2/15,3.4,5.9,0.8
1990/2/16,4.7,5.8,2.1
1990/2/17,5.7,12.9,-0.6
1990/2/18,7.3,12.5,1.5
1990/2/19,6.2,7.7,5.8
1990/2/20,9.8,17.4,6.2
1990/2/21,10.1,16.4,4.3
1990/2/22,10.4,17.1,3.8
