年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1980/1/1,3.9,8.0,-0.8
1980/1/2,2.1,6.8,-3.8
1980/1/3,5.0,8.9,2.0
1980/1/4,7.1,10.5,3.7
1980/1/5,4.1,8.3,0.5
1980/1/6,0.3,5.9,-5.2
1980/1/7,1.9,9.9,-2.9
1980/1/8,-0.6,5.7,-6.1
1980/1/9,0.4,5.2,-4.8
1980/1/10,5.2,10.7,0.9
1980/1/11,2.5,6.9,-1.0
1980/1/12,-0.5,4.1,-5.6
1980/1/13,0.1,1.8,-1.6
1980/1/14,0.8,6.4,-4.3
1980/1/15,1.3,7.9,-3.5
1980/1/16,0.6,8.9,-5.6
1980/1/17,1.6,8.9,-5.4
1980/1/18,1.2,5.7,-2.3
1980/1/19,1.4,6.7,-4.4
1980/1/20,3.6,11.1,-2.6
1980/1/21,2.1,6.6,-1.9
1980/1/22,0.3,5.9,-4.1
1980/1/23,1.9,8.3,-2.4
1980/1/24,2.0,8.5,-4.1
1980/1/25,3.0,7.6,-0.5
1980/1/26,3.3,9.3,-3.0
1980/1/27,1.0,8.5,-6.2
1980/1/28,6.8,14.8,-1.9
1980/1/29,7.7,10.3,6.2
1980/1/30,5.9,7.7,4.3
1980/1/31,5.6,9.8,2.4
1980/2/1,2.1,7.1,-2.8
1980/2/2,2.6,9.2,-3.3
1980/2/3,3.3,9.6,-1.9
1980/2/4,3.7,9.8,-1.9
1980/2/5,2.7,5.7,0.6
1980/2/6,0.6,4.1,-3.6
1980/2/7,0.0,6.2,-5.3
1980/2/8,0.2,4.6,-5.2
1980/2/9,2.1,7.9,-3.0
1980/2/10,3.1,9.1,-1.2
1980/2/11,2.8,10.9,-4.2
1980/2/12,2.7,8.1,-3.8
1980/2/13,2.2,9.3,-3.5
1980/2/14,0.8,6.5,-4.7
1980/2/15,1.9,8.9,-4.8
1980/2/16,0.5,6.5,-4.1
1980/2/17,0.6,7.0,-6.1
1980/2/18,3.0,9.0,-3.8
1980/2/19,0.9,4.9,-1.2
1980/2/20,3.2,10.7,-3.6
1980/2/21,2.5,6.9,-1.3
1980/2/22,1.6,8.2,-4.7
1980/2/23,2.5,9.5,-5.7
1980/2/24,4.6,12.7,-2.0
1980/2/25,4.3,11.5,-2.0
1980/2/26,3.7,7.7,0.4
1980/2/27,6.7,13.4,-0.5
1980/2/28,2.3,6.6,-0.1
1980/2/29,4.7,13.0,-3.7
1980/3/1,4.0,7.4,0.2
