年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/1/1,-3.3,0.5,-8.9
2020/1/2,-1.0,2.1,-4.4
2020/1/3,-0.6,2.0,-3.7
2020/1/4,-2.2,-0.1,-6.1
2020/1/5,-5.0,-3.8,-7.5
2020/1/6,-3.3,1.3,-8.7
2020/1/7,-2.5,2.1,-7.0
2020/1/8,4.2,9.5,0.6
2020/1/9,1.0,3.9,-3.5
2020/1/10,-1.3,3.0,-6.0
2020/1/11,-2.7,2.5,-6.8
2020/1/12,-1.3,1.2,-4.4
2020/1/13,-0.6,4.0,-4.6
2020/1/14,-1.4,1.3,-6.3
2020/1/15,-1.3,2.8,-4.6
2020/1/16,-3.8,0.2,-7.9
2020/1/17,-3.1,0.9,-7.1
2020/1/18,-4.3,-2.5,-5.5
2020/1/19,-3.3,0.3,-7.9
2020/1/20,0.0,2.8,-4.0
2020/1/21,-3.7,-0.5,-8.3
2020/1/22,-2.6,3.1,-9.4
2020/1/23,1.4,4.5,-2.4
2020/1/24,1.8,6.2,-1.7
2020/1/25,-2.2,1.8,-5.3
2020/1/26,-2.1,1.6,-5.4
2020/1/27,-3.8,-1.0,-6.4
2020/1/28,-1.2,2.4,-5.9
2020/1/29,3.9,8.3,1.2
2020/1/30,2.1,5.5,-1.7
2020/1/31,-2.6,0.5,-4.3
2020/2/1,-3.3,0.4,-7.0
2020/2/2,-2.8,1.4,-7.4
2020/2/3,0.4,5.1,-2.5
2020/2/4,-1.7,2.4,-3.7
2020/2/5,-3.2,1.4,-8.5
2020/2/6,-10.1,-8.1,-13.8
2020/2/7,-7.6,-2.4,-13.9
2020/2/8,-2.5,1.9,-8.1
2020/2/9,-8.0,-4.9,-11.2
2020/2/10,-5.2,-1.1,-11.2
2020/2/11,-4.1,0.9,-6.6
2020/2/12,-0.2,6.7,-7.2
2020/2/13,6.5,12.7,1.2
2020/2/14,3.2,7.6,-0.3
2020/2/15,2.3,7.3,-1.8
2020/2/16,4.2,10.6,-0.8
2020/2/17,1.9,6.4,-2.5
2020/2/18,-4.5,-2.5,-5.9
2020/2/19,-2.9,3.2,-8.7
2020/2/20,-1.0,2.9,-5.1
2020/2/21,-0.7,4.6,-6.4
2020/2/22,4.1,10.0,0.2
2020/2/23,-2.6,0.3,-4.4
2020/2/24,0.7,5.9,-4.2
2020/2/25,1.0,5.3,-2.4
2020/2/26,-1.1,0.2,-5.8
2020/2/27,-4.3,-1.5,-6.3
2020/2/28,-3.8,0.4,-7.6
2020/2/29,-0.8,3.4,-6.1
2020/3/1,3.1,9.5,-2.3
2020/3/2,1.2,3.9,-1.2
2020/3/3,2.4,7.8,-1.7
2020/3/4,1.5,3.9,0.0
2020/3/5,-2.4,3.0,-5.3
2020/3/6,-1.6,3.5,-5.0
2020/3/7,-0.6,4.6,-6.2
2020/3/8,1.5,3.2,-0.6
2020/3/9,4.5,10.5,-1.1
2020/3/10,7.2,11.1,3.3
2020/3/11,4.1,11.1,-1.4
2020/3/12,0.7,5.8,-3.3
2020/3/13,3.8,11.5,-1.7
2020/3/14,-1.7,3.3,-4.3
2020/3/15,-3.1,0.9,-8.6
2020/3/16,-4.2,0.5,-7.2
2020/3/17,-2.4,3.3,-9.8
2020/3/18,2.0,7.6,-1.8
2020/3/19,4.7,12.3,-1.8
2020/3/20,1.6,8.0,-2.3
2020/3/21,5.6,11.3,-2.2
2020/3/22,7.2,13.7,3.4
2020/3/23,0.8,4.4,-3.9
2020/3/24,-3.9,-0.8,-6.1
2020/3/25,-1.0,5.3,-6.9
2020/3/26,4.6,12.9,-3.3
2020/3/27,7.8,15.4,0.6
2020/3/28,8.1,15.6,-0.1
2020/3/29,-1.6,0.4,-2.8
2020/3/30,-0.9,0.4,-3.1
2020/3/31,2.5,5.9,-1.9
2020/4/1,5.5,8.6,2.9
2020/4/2,3.0,8.1,-0.7
2020/4/3,3.2,8.2,-2.7
2020/4/4,5.6,13.1,-1.3
2020/4/5,1.9,6.4,-2.8
2020/4/6,0.0,2.6,-2.2
2020/4/7,2.6,8.1,-2.6
2020/4/8,3.2,9.0,-1.9
2020/4/9,3.1,9.8,-1.5
2020/4/10,-0.8,2.2,-4.3
2020/4/11,0.4,5.4,-5.1
2020/4/12,0.6,2.5,-1.2
2020/4/13,1.3,3.5,-0.7
2020/4/14,1.9,5.2,-1.1
