年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/1/1,-0.2,7.3,-5.3
2020/1/2,0.6,5.9,-2.8
2020/1/3,1.1,8.9,-4.4
2020/1/4,1.7,6.7,-0.9
2020/1/5,0.2,4.8,-3.2
2020/1/6,-0.3,5.0,-5.3
2020/1/7,1.9,9.4,-3.3
2020/1/8,10.4,15.4,6.2
2020/1/9,4.6,10.0,-0.1
2020/1/10,2.4,7.4,-1.4
2020/1/11,2.6,11.8,-3.9
2020/1/12,1.6,5.8,-1.3
2020/1/13,5.2,9.9,0.8
2020/1/14,4.5,8.1,1.9
2020/1/15,2.6,7.8,-0.9
2020/1/16,0.0,4.6,-3.5
2020/1/17,0.7,6.7,-4.0
2020/1/18,1.4,3.1,-0.1
2020/1/19,3.2,6.5,-0.5
2020/1/20,5.6,10.3,3.2
2020/1/21,1.9,6.0,-3.0
2020/1/22,3.6,12.3,-5.3
2020/1/23,6.7,9.0,4.1
2020/1/24,6.0,10.3,2.1
2020/1/25,1.7,5.2,0.3
2020/1/26,2.8,9.1,-0.1
2020/1/27,0.9,2.9,-0.6
2020/1/28,1.0,2.4,-0.3
2020/1/29,4.6,10.5,1.2
2020/1/30,6.0,11.5,1.6
2020/1/31,1.5,5.5,-2.8
2020/2/1,0.1,7.6,-5.3
2020/2/2,0.5,8.0,-5.2
2020/2/3,4.8,11.6,-3.3
2020/2/4,3.4,9.2,-2.4
2020/2/5,2.6,8.1,-2.7
2020/2/6,-3.3,0.8,-7.7
2020/2/7,-3.1,5.7,-9.8
2020/2/8,0.9,5.6,-3.7
2020/2/9,-2.4,2.3,-6.2
2020/2/10,-1.4,6.2,-8.3
2020/2/11,-0.4,5.6,-5.0
2020/2/12,4.7,14.8,-6.5
2020/2/13,10.3,18.4,4.1
2020/2/14,7.1,14.0,2.7
2020/2/15,6.0,12.4,1.8
2020/2/16,9.9,16.5,1.8
2020/2/17,6.9,12.1,-0.6
2020/2/18,0.1,2.8,-2.7
2020/2/19,0.8,7.3,-4.9
2020/2/20,2.4,9.1,-3.0
2020/2/21,5.2,12.9,-1.8
2020/2/22,8.2,11.4,4.5
2020/2/23,4.0,8.4,-1.3
2020/2/24,3.8,13.7,-4.4
2020/2/25,3.1,7.2,-1.6
2020/2/26,3.4,6.4,1.5
2020/2/27,0.7,4.8,-3.4
2020/2/28,0.7,6.9,-4.7
2020/2/29,5.9,13.5,-1.6
2020/3/1,6.2,11.4,3.5
2020/3/2,8.3,16.6,2.7
2020/3/3,4.8,12.4,-0.7
2020/3/4,5.3,13.0,0.0
2020/3/5,2.8,7.6,-2.3
2020/3/6,1.2,8.5,-4.7
2020/3/7,5.5,15.3,-2.1
2020/3/8,3.4,5.6,1.3
2020/3/9,9.0,19.1,1.5
2020/3/10,10.3,15.7,7.7
2020/3/11,9.3,14.3,3.0
2020/3/12,5.6,12.8,-0.2
2020/3/13,8.3,18.0,-0.8
2020/3/14,2.0,4.9,0.3
2020/3/15,3.2,9.9,-0.8
2020/3/16,1.1,5.0,-3.5
2020/3/17,2.6,12.0,-5.9
2020/3/18,7.8,15.3,1.3
2020/3/19,11.1,19.7,-0.2
2020/3/20,8.0,13.8,2.7
2020/3/21,10.1,18.7,-0.7
2020/3/22,12.6,18.8,6.3
2020/3/23,6.0,11.4,2.7
2020/3/24,1.8,6.1,-2.1
2020/3/25,3.6,12.7,-4.1
2020/3/26,9.8,21.7,0.6
2020/3/27,12.7,18.0,4.8
2020/3/28,9.4,17.2,1.8
2020/3/29,1.4,3.2,0.2
2020/3/30,4.3,10.2,0.8
2020/3/31,8.0,14.4,3.1
2020/4/1,9.3,10.8,8.0
2020/4/2,6.9,12.6,1.3
2020/4/3,7.5,18.0,-1.3
2020/4/4,10.6,17.7,2.5
2020/4/5,5.1,11.1,1.0
2020/4/6,6.2,14.5,-1.0
2020/4/7,7.3,17.1,-0.3
2020/4/8,10.3,18.9,0.7
2020/4/9,8.1,15.1,2.4
2020/4/10,4.5,11.7,0.0
2020/4/11,5.6,15.3,-2.0
2020/4/12,7.0,13.1,2.6
2020/4/13,5.9,8.3,4.2
2020/4/14,6.6,11.8,1.8
2020/4/15,9.5,19.8,-0.4
2020/4/16,9.5,17.4,3.9
2020/4/17,10.4,20.5,1.3
2020/4/18,7.6,10.1,5.6
2020/4/19,10.6,16.9,4.6
2020/4/20,11.5,16.4,7.9
2020/4/21,11.7,19.9,6.5
2020/4/22,8.4,13.7,1.2
2020/4/23,6.3,13.5,-0.6
2020/4/24,6.3,14.8,0.8
2020/4/25,10.6,19.0,1.0
2020/4/26,12.6,18.5,7.8
2020/4/27,9.9,16.9,4.8
2020/4/28,9.0,18.0,2.1
2020/4/29,13.0,23.4,2.3
2020/4/30,16.5,26.1,6.6
2020/5/1,20.1,27.2,13.9
2020/5/2,22.2,32.5,11.9
2020/5/3,20.8,28.3,13.7
2020/5/4,20.5,27.2,15.1
2020/5/5,18.8,26.2,14.7
2020/5/6,14.3,22.1,10.0
2020/5/7,11.8,17.9,6.0
2020/5/8,14.5,26.3,4.0
2020/5/9,14.9,19.7,12.5
2020/5/10,19.9,24.7,14.2
2020/5/11,21.2,29.4,13.8
2020/5/12,19.1,27.9,9.4
2020/5/13,17.4,24.3,9.2
2020/5/14,16.6,26.2,6.5
2020/5/15,18.3,26.6,9.9
2020/5/16,16.1,18.1,14.5
2020/5/17,18.3,27.1,14.0
2020/5/18,19.2,27.2,14.1
2020/5/19,18.1,24.4,14.4
2020/5/20,16.7,22.6,12.2
2020/5/21,14.0,18.2,11.7
2020/5/22,16.8,25.3,9.7
2020/5/23,18.7,25.7,13.4
2020/5/24,20.5,27.6,13.5
2020/5/25,21.1,26.9,15.7
2020/5/26,18.8,25.5,15.7
2020/5/27,19.0,26.8,14.0
2020/5/28,17.0,24.2,11.2
2020/5/29,16.9,24.8,9.1
2020/5/30,17.2,27.4,10.2
2020/5/31,16.0,20.6,12.2
2020/6/1,20.4,27.0,15.0
2020/6/2,21.9,29.9,16.1
2020/6/3,21.7,29.8,15.0
2020/6/4,22.8,31.3,14.6
2020/6/5,23.7,33.9,15.9
2020/6/6,20.9,28.4,17.2
2020/6/7,20.3,27.8,14.9
2020/6/8,21.8,30.0,13.6
2020/6/9,24.2,32.6,15.8
2020/6/10,24.8,32.5,18.8
2020/6/11,22.7,30.0,20.0
2020/6/12,21.9,25.3,18.9
2020/6/13,20.1,21.5,19.0
2020/6/14,21.9,26.5,18.5
2020/6/15,24.4,31.2,19.3
2020/6/16,22.2,30.0,16.3
2020/6/17,21.4,28.8,14.3
2020/6/18,19.5,25.1,15.8
2020/6/19,16.5,19.0,14.8
2020/6/20,18.7,23.9,15.3
2020/6/21,20.0,29.2,13.4
2020/6/22,18.8,21.1,17.6
2020/6/23,22.2,28.7,16.8
2020/6/24,24.0,28.9,20.5
2020/6/25,24.4,31.3,19.5
2020/6/26,25.4,28.6,19.8
2020/6/27,24.1,30.7,17.1
2020/6/28,20.8,26.1,17.7
2020/6/29,21.5,27.9,16.2
2020/6/30,21.3,25.1,18.4
2020/7/1,24.4,28.8,21.5
2020/7/2,24.0,28.6,19.8
2020/7/3,20.2,25.5,16.8
2020/7/4,20.9,28.1,16.7
2020/7/5,23.7,28.5,19.3
2020/7/6,22.4,24.6,19.8
