年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1970/1/1,0.6,7.8,-4.3
1970/1/2,1.6,7.2,-4.6
1970/1/3,3.5,10.0,0.1
1970/1/4,0.9,9.1,-2.8
1970/1/5,-1.0,4.7,-6.1
1970/1/6,-1.8,7.6,-8.6
1970/1/7,0.6,11.3,-6.6
1970/1/8,0.8,6.4,-2.7
1970/1/9,1.5,9.1,-5.8
1970/1/10,1.3,8.1,-2.9
1970/1/11,3.1,12.5,-4.8
1970/1/12,2.0,9.9,-4.4
1970/1/13,3.3,10.8,-3.3
1970/1/14,1.3,7.6,-4.2
1970/1/15,-0.7,3.6,-3.7
1970/1/16,-1.8,4.5,-6.4
1970/1/17,-3.0,2.7,-8.9
1970/1/18,-1.8,7.3,-10.2
1970/1/19,-1.1,7.3,-9.2
1970/1/20,0.4,8.7,-5.7
1970/1/21,0.7,9.8,-6.8
1970/1/22,1.9,10.8,-6.2
1970/1/23,2.9,9.7,-0.8
1970/1/24,4.6,10.6,0.5
1970/1/25,3.4,9.8,-2.3
1970/1/26,3.3,9.7,-1.9
1970/1/27,1.7,10.6,-4.8
1970/1/28,0.7,10.6,-6.8
1970/1/29,2.5,12.7,-5.2
1970/1/30,2.5,6.1,-3.0
1970/1/31,6.4,10.4,2.5
1970/2/1,3.6,6.5,2.0
1970/2/2,4.6,9.0,-0.2
1970/2/3,1.5,9.8,-5.8
1970/2/4,2.9,11.4,-4.3
1970/2/5,-0.4,3.5,-4.2
1970/2/6,0.1,8.9,-8.6
1970/2/7,0.7,9.8,-6.9
1970/2/8,-0.8,1.1,-3.4
1970/2/9,1.4,7.3,-0.9
1970/2/10,0.5,3.8,-1.8
1970/2/11,0.7,8.0,-5.3
1970/2/12,2.4,12.9,-6.2
1970/2/13,3.5,13.2,-4.5
1970/2/14,7.2,17.2,-1.9
1970/2/15,5.2,14.3,-0.9
1970/2/16,2.1,10.8,-4.7
1970/2/17,3.3,14.2,-4.9
1970/2/18,4.7,15.5,-3.8
1970/2/19,8.1,18.6,-2.8
1970/2/20,9.7,18.1,1.6
1970/2/21,10.7,18.9,5.9
1970/2/22,6.4,11.6,3.8
1970/2/23,5.1,10.1,1.9
1970/2/24,5.4,10.3,-0.6
1970/2/25,7.1,11.8,4.8
1970/2/26,3.7,6.1,1.5
1970/2/27,6.6,15.5,1.5
1970/2/28,3.3,5.0,2.3
1970/3/1,3.3,8.2,-0.9
1970/3/2,1.2,7.2,-2.3
1970/3/3,3.5,9.4,-2.5
1970/3/4,1.8,4.4,0.6
1970/3/5,-1.2,3.3,-5.4
1970/3/6,-1.3,4.6,-8.0
1970/3/7,1.3,6.3,-5.4
1970/3/8,2.5,9.1,-3.7
1970/3/9,4.6,12.2,-4.3
1970/3/10,8.0,17.9,1.9
1970/3/11,5.9,11.6,2.2
1970/3/12,3.0,7.8,-0.4
1970/3/13,1.6,5.9,-1.0
1970/3/14,3.0,9.2,-1.1
1970/3/15,4.3,7.8,0.7
1970/3/16,6.8,14.0,3.7
1970/3/17,3.5,7.3,0.1
1970/3/18,3.9,9.7,-2.3
1970/3/19,2.9,6.8,-0.9
1970/3/20,1.9,7.2,-2.9
1970/3/21,2.4,9.8,-5.9
1970/3/22,1.8,7.1,-2.5
1970/3/23,4.0,10.4,-0.2
1970/3/24,4.2,12.1,-2.0
1970/3/25,3.5,11.5,-4.5
1970/3/26,5.3,14.0,-3.1
1970/3/27,8.0,16.2,1.8
1970/3/28,10.1,21.1,2.3
1970/3/29,9.9,17.5,2.4
1970/3/30,10.4,17.5,5.3
1970/3/31,8.1,16.4,2.5
1970/4/1,8.4,18.1,0.5
1970/4/2,9.1,16.6,1.9
1970/4/3,7.7,9.6,6.3
1970/4/4,8.0,11.1,4.7
1970/4/5,9.8,15.1,4.7
1970/4/6,12.0,19.7,7.7
1970/4/7,12.7,21.1,7.1
1970/4/8,12.4,20.9,5.2
1970/4/9,10.7,19.8,3.3
1970/4/10,13.5,23.1,4.6
1970/4/11,10.6,11.6,9.8
1970/4/12,13.6,22.3,7.7
1970/4/13,9.3,13.5,4.6
1970/4/14,8.3,15.9,1.8
1970/4/15,12.2,20.2,5.5
1970/4/16,15.0,24.5,6.5
1970/4/17,14.4,20.5,7.6
1970/4/18,13.2,15.7,10.7
1970/4/19,12.4,16.5,10.6
1970/4/20,13.9,17.6,10.6
1970/4/21,17.5,23.3,13.1
1970/4/22,14.0,18.9,10.8
1970/4/23,13.7,21.3,8.7
1970/4/24,13.2,20.7,7.7
1970/4/25,12.2,15.8,7.3
1970/4/26,16.1,21.5,11.3
1970/4/27,16.8,25.3,9.8
1970/4/28,15.8,21.1,13.0
1970/4/29,16.9,24.5,11.9
1970/4/30,15.9,23.0,10.4
1970/5/1,15.6,25.0,6.8
1970/5/2,17.0,25.5,9.5
1970/5/3,17.4,25.0,11.0
1970/5/4,17.9,25.3,11.7
1970/5/5,18.9,24.3,15.2
1970/5/6,15.7,17.7,13.4
1970/5/7,14.2,15.5,12.3
1970/5/8,18.7,24.6,13.8
1970/5/9,21.0,26.7,17.0
1970/5/10,19.5,23.3,17.7
1970/5/11,17.8,20.1,16.1
1970/5/12,20.1,27.8,13.3
1970/5/13,16.4,24.1,10.2
1970/5/14,17.2,25.5,8.2
1970/5/15,18.5,26.1,12.1
1970/5/16,18.6,25.1,10.4
1970/5/17,16.2,19.6,13.6
1970/5/18,19.8,29.6,11.7
1970/5/19,19.1,27.4,10.2
1970/5/20,16.6,22.5,13.5
1970/5/21,19.3,26.5,12.4
1970/5/22,18.7,26.9,11.2
1970/5/23,17.8,26.0,10.9
1970/5/24,18.8,26.3,13.8
1970/5/25,18.8,25.5,10.7
1970/5/26,20.6,27.5,16.1
1970/5/27,21.9,30.9,14.7
1970/5/28,21.1,28.3,13.8
1970/5/29,19.2,24.3,15.2
1970/5/30,20.5,26.8,16.2
1970/5/31,20.1,27.5,15.2
1970/6/1,17.5,24.9,12.7
1970/6/2,19.6,28.6,12.2
1970/6/3,17.0,20.7,12.4
1970/6/4,19.7,25.7,15.4
1970/6/5,18.6,21.6,15.8
1970/6/6,18.7,24.7,13.4
1970/6/7,19.8,29.7,10.0
1970/6/8,20.9,30.2,12.5
1970/6/9,20.9,29.6,12.0
1970/6/10,19.8,22.5,17.4
1970/6/11,17.9,19.6,16.5
1970/6/12,19.1,21.3,16.1
1970/6/13,22.6,28.5,18.9
1970/6/14,21.8,27.0,17.9
1970/6/15,18.0,18.8,16.8
1970/6/16,14.0,17.7,12.8
1970/6/17,17.6,22.4,13.2
1970/6/18,18.8,21.5,16.2
1970/6/19,19.7,21.9,17.0
1970/6/20,21.6,27.3,18.7
1970/6/21,19.7,22.8,18.1
1970/6/22,19.0,21.4,17.0
1970/6/23,20.1,23.7,16.3
1970/6/24,21.1,24.6,17.9
1970/6/25,19.3,21.5,17.6
1970/6/26,20.7,24.4,17.1
1970/6/27,21.7,26.4,18.5
1970/6/28,23.2,31.6,16.5
1970/6/29,23.6,31.4,17.1
1970/6/30,21.3,25.3,19.0
1970/7/1,20.1,22.6,17.6
1970/7/2,22.7,27.3,19.5
1970/7/3,22.7,28.3,19.7
1970/7/4,23.5,28.2,19.4
1970/7/5,22.2,23.9,21.0
1970/7/6,21.9,26.1,19.3
1970/7/7,22.5,28.5,18.0
1970/7/8,21.3,25.2,19.2
1970/7/9,22.2,26.6,18.5
1970/7/10,24.9,30.1,20.5
1970/7/11,22.3,23.2,21.3
1970/7/12,25.5,32.0,21.5
1970/7/13,23.6,26.3,21.4
1970/7/14,24.3,30.3,21.1
1970/7/15,25.4,32.8,21.1
1970/7/16,23.9,27.7,19.5
1970/7/17,23.8,25.8,21.8
1970/7/18,26.1,33.6,21.8
1970/7/19,27.4,34.4,23.6
1970/7/20,26.9,32.8,22.7
1970/7/21,28.0,35.4,21.8
1970/7/22,28.3,35.0,23.8
1970/7/23,28.3,36.2,24.0
1970/7/24,27.7,35.8,23.0
1970/7/25,27.4,36.0,21.1
1970/7/26,27.2,35.9,21.0
1970/7/27,27.5,34.5,23.1
