年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1990/1/1,0.5,8.2,-5.5
1990/1/2,0.6,8.0,-5.5
1990/1/3,0.7,9.4,-5.3
1990/1/4,1.7,8.5,-4.0
1990/1/5,1.0,10.1,-6.2
1990/1/6,3.5,14.9,-6.0
1990/1/7,2.7,7.9,-2.4
1990/1/8,1.7,10.5,-3.6
1990/1/9,1.8,12.8,-5.6
1990/1/10,3.5,9.5,-1.1
1990/1/11,7.5,12.5,0.3
1990/1/12,2.9,10.7,-2.0
1990/1/13,2.7,9.2,-1.7
1990/1/14,-0.8,6.0,-6.5
1990/1/15,0.9,8.5,-6.8
1990/1/16,-0.3,0.9,-1.0
1990/1/17,-1.2,5.9,-6.9
1990/1/18,-0.3,8.1,-6.5
1990/1/19,2.4,7.4,-2.5
1990/1/20,2.1,7.1,-2.7
1990/1/21,-0.3,6.6,-5.4
1990/1/22,0.6,8.4,-6.2
1990/1/23,0.2,2.5,-1.4
1990/1/24,0.0,6.4,-4.8
1990/1/25,-0.6,6.0,-5.2
1990/1/26,-2.4,5.3,-8.4
1990/1/27,-2.2,6.0,-9.0
1990/1/28,-0.2,7.7,-6.7
1990/1/29,-0.4,7.3,-6.1
1990/1/30,3.5,10.9,-3.3
1990/1/31,0.0,1.7,-1.1
1990/2/1,-0.5,1.0,-2.2
1990/2/2,-0.9,5.5,-7.8
1990/2/3,1.2,7.0,-3.7
1990/2/4,2.3,4.3,1.1
1990/2/5,1.8,4.8,-1.0
1990/2/6,1.2,2.9,-1.5
1990/2/7,4.2,10.1,0.6
1990/2/8,5.2,11.6,-0.4
1990/2/9,2.8,6.0,-1.1
1990/2/10,2.4,8.7,-3.3
1990/2/11,4.9,7.8,1.7
1990/2/12,6.2,14.0,0.5
1990/2/13,2.8,10.1,-2.5
1990/2/14,1.6,6.2,-2.3
1990/2/15,3.0,6.1,0.3
1990/2/16,3.6,5.2,1.1
1990/2/17,5.4,13.3,-0.1
1990/2/18,6.3,13.5,-1.3
1990/2/19,5.5,7.5,4.8
1990/2/20,6.6,9.4,5.0
1990/2/21,8.2,16.9,2.9
1990/2/22,9.1,18.8,0.3
1990/2/23,8.8,10.0,7.9
1990/2/24,11.5,18.3,7.8
1990/2/25,9.1,11.7,8.1
1990/2/26,7.3,9.0,5.9
1990/2/27,6.4,8.4,5.4
1990/2/28,6.7,11.6,4.0
1990/3/1,5.5,7.5,3.2
1990/3/2,5.5,7.3,3.8
1990/3/3,5.1,6.2,3.6
1990/3/4,8.5,15.1,4.8
1990/3/5,6.9,12.2,1.3
1990/3/6,6.2,12.7,1.5
1990/3/7,5.9,14.3,-1.4
1990/3/8,5.4,10.5,1.7
1990/3/9,6.6,14.7,-1.4
1990/3/10,7.0,17.7,-1.2
1990/3/11,8.4,17.0,-1.4
1990/3/12,8.4,17.0,4.0
1990/3/13,5.4,11.0,-0.5
1990/3/14,5.8,13.7,-3.8
1990/3/15,10.1,18.7,3.3
1990/3/16,8.5,16.5,2.0
1990/3/17,7.2,14.4,-1.1
1990/3/18,4.1,6.5,2.0
1990/3/19,8.3,16.1,1.8
1990/3/20,8.7,20.0,0.1
1990/3/21,6.9,15.2,0.6
1990/3/22,7.9,16.8,-2.1
1990/3/23,11.0,19.5,1.9
1990/3/24,12.6,20.3,6.2
1990/3/25,7.1,12.6,0.4
1990/3/26,4.4,12.8,-1.4
1990/3/27,7.7,17.1,-2.7
1990/3/28,9.8,16.3,3.7
1990/3/29,6.8,8.2,6.2
1990/3/30,8.7,11.4,6.1
1990/3/31,8.4,9.2,7.5
1990/4/1,14.2,22.7,4.9
1990/4/2,13.5,21.0,6.8
1990/4/3,13.6,22.3,2.9
1990/4/4,14.6,19.4,10.9
1990/4/5,7.9,12.9,1.3
1990/4/6,7.6,16.2,-0.6
1990/4/7,9.4,15.8,0.1
1990/4/8,10.9,19.0,7.2
1990/4/9,11.7,20.3,1.7
1990/4/10,13.9,23.4,4.6
1990/4/11,13.9,21.7,5.9
1990/4/12,13.8,22.5,5.1
1990/4/13,12.2,13.7,10.5
1990/4/14,13.7,20.4,11.4
1990/4/15,10.8,13.7,7.7
1990/4/16,7.6,9.7,5.9
1990/4/17,7.9,9.8,6.2
1990/4/18,8.3,12.4,4.1
1990/4/19,10.5,16.0,6.2
1990/4/20,10.4,13.3,7.8
1990/4/21,10.5,11.9,9.1
1990/4/22,14.0,18.8,10.4
1990/4/23,15.0,21.1,9.9
1990/4/24,10.8,20.4,4.7
1990/4/25,10.5,18.3,1.3
1990/4/26,14.2,21.4,7.6
1990/4/27,15.7,23.0,7.4
1990/4/28,17.8,25.0,13.2
1990/4/29,13.3,20.4,6.3
1990/4/30,12.3,19.2,3.5
1990/5/1,14.3,21.4,9.2
1990/5/2,9.7,10.8,8.2
1990/5/3,12.0,14.6,9.1
1990/5/4,12.1,13.5,10.7
1990/5/5,14.3,17.6,10.1
1990/5/6,14.8,19.1,9.4
1990/5/7,14.9,18.1,12.3
1990/5/8,17.5,26.4,13.8
1990/5/9,19.1,27.7,10.8
1990/5/10,20.6,29.1,11.7
1990/5/11,20.8,27.1,15.0
1990/5/12,20.7,25.3,16.7
1990/5/13,19.6,26.5,13.8
1990/5/14,16.9,21.0,14.0
