年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/1/1,-3.4,0.4,-8.5
2020/1/2,-1.7,1.5,-4.8
2020/1/3,-0.8,2.4,-5.1
2020/1/4,-2.6,-0.4,-5.3
2020/1/5,-4.4,-3.4,-6.2
2020/1/6,-2.7,2.0,-6.4
2020/1/7,-3.3,-0.3,-7.1
2020/1/8,2.5,8.7,-2.0
2020/1/9,-0.2,2.0,-2.6
2020/1/10,-2.3,0.6,-6.1
2020/1/11,-2.5,2.3,-7.0
2020/1/12,-1.6,1.4,-4.0
2020/1/13,-0.9,3.1,-5.0
2020/1/14,-0.9,3.6,-5.3
2020/1/15,-1.5,2.6,-5.5
2020/1/16,-3.4,0.8,-6.3
2020/1/17,-2.0,3.0,-7.0
2020/1/18,-3.0,-0.5,-5.2
2020/1/19,-1.9,2.1,-5.7
2020/1/20,0.1,3.9,-3.5
2020/1/21,-4.1,-0.5,-7.7
2020/1/22,-2.4,2.5,-8.0
2020/1/23,1.9,3.9,-1.0
2020/1/24,1.9,6.1,-3.3
2020/1/25,-1.8,4.4,-5.5
2020/1/26,-1.4,3.9,-4.2
2020/1/27,-3.0,-0.2,-5.3
2020/1/28,-0.8,2.7,-4.7
2020/1/29,3.3,8.3,0.0
2020/1/30,1.5,5.7,-1.4
2020/1/31,-3.9,-1.0,-5.4
2020/2/1,-3.5,-0.4,-6.0
2020/2/2,-3.0,0.7,-6.8
2020/2/3,-0.8,6.7,-6.7
2020/2/4,-2.0,3.6,-6.0
2020/2/5,-3.8,2.3,-8.7
2020/2/6,-10.2,-8.6,-12.1
2020/2/7,-7.0,0.3,-13.8
2020/2/8,-3.7,-0.3,-7.2
2020/2/9,-8.1,-6.6,-10.1
2020/2/10,-5.5,-0.2,-11.4
2020/2/11,-4.3,0.4,-6.9
2020/2/12,2.1,9.6,-6.5
2020/2/13,6.1,13.4,1.6
2020/2/14,3.9,8.2,0.4
2020/2/15,3.5,9.0,-0.6
2020/2/16,3.8,6.1,0.0
2020/2/17,3.2,7.1,-4.3
2020/2/18,-4.8,-2.7,-7.3
2020/2/19,-2.3,3.8,-6.8
2020/2/20,-0.2,4.2,-4.9
2020/2/21,0.5,7.2,-6.2
2020/2/22,2.9,8.9,-2.0
2020/2/23,-2.4,-0.2,-4.1
2020/2/24,0.6,6.4,-5.2
2020/2/25,0.8,5.5,-1.1
2020/2/26,-0.1,3.4,-2.8
2020/2/27,-4.8,-2.6,-6.5
2020/2/28,-3.0,1.3,-6.7
2020/2/29,0.1,6.3,-4.7
2020/3/1,3.4,8.1,-0.9
2020/3/2,0.9,2.6,-0.5
2020/3/3,1.9,7.7,-1.4
2020/3/4,0.4,1.5,-0.5
2020/3/5,-3.0,0.9,-5.8
2020/3/6,-3.1,1.8,-6.1
2020/3/7,-0.7,5.6,-5.8
2020/3/8,1.0,4.3,-1.9
2020/3/9,6.8,13.0,-0.3
2020/3/10,7.0,8.2,4.9
2020/3/11,3.5,8.5,-2.0
2020/3/12,1.0,8.5,-4.1
2020/3/13,4.2,11.7,-2.6
2020/3/14,-1.1,3.2,-5.9
2020/3/15,-2.3,3.6,-6.8
2020/3/16,-4.7,0.3,-7.2
2020/3/17,-1.9,5.2,-9.4
2020/3/18,2.1,7.2,-1.6
2020/3/19,6.3,14.4,-0.8
2020/3/20,1.2,6.6,-1.8
2020/3/21,6.3,11.7,-1.6
2020/3/22,6.6,13.5,0.9
2020/3/23,-0.3,3.8,-4.1
2020/3/24,-4.5,-2.8,-6.8
2020/3/25,0.0,6.0,-6.7
2020/3/26,6.7,13.6,-1.1
2020/3/27,9.8,15.7,3.4
2020/3/28,9.5,17.9,0.2
2020/3/29,-0.5,0.6,-1.4
2020/3/30,-0.6,0.6,-1.7
2020/3/31,2.4,6.4,-2.1
2020/4/1,4.7,7.0,2.5
2020/4/2,0.8,5.4,-3.0
2020/4/3,3.7,11.0,-3.3
2020/4/4,6.9,14.3,-0.1
2020/4/5,1.0,4.6,-2.3
2020/4/6,1.1,6.5,-2.3
2020/4/7,3.8,12.0,-2.8
2020/4/8,5.7,13.4,-1.0
2020/4/9,3.6,11.4,-1.2
2020/4/10,-0.7,3.4,-3.1
2020/4/11,1.5,8.1,-3.4
2020/4/12,1.8,7.4,-0.4
2020/4/13,1.8,5.3,-0.3
2020/4/14,0.6,3.6,-2.2
2020/4/15,7.3,14.4,-1.9
2020/4/16,6.1,13.5,1.3
2020/4/17,4.1,10.7,-0.1
2020/4/18,4.5,6.7,2.4
2020/4/19,6.8,13.0,2.6
2020/4/20,3.2,9.6,0.2
2020/4/21,7.8,15.2,3.2
2020/4/22,3.5,9.8,-2.2
2020/4/23,2.1,9.1,-3.1
2020/4/24,1.7,8.0,-2.7
2020/4/25,4.6,12.2,-2.4
2020/4/26,8.4,15.2,0.9
2020/4/27,5.3,11.5,-0.9
2020/4/28,3.9,11.6,-0.3
2020/4/29,8.4,16.7,-0.6
2020/4/30,11.0,17.2,5.5
2020/5/1,13.5,21.3,5.4
2020/5/2,18.0,26.6,8.6
2020/5/3,17.6,24.2,12.3
2020/5/4,13.3,19.8,9.0
2020/5/5,15.2,22.2,8.4
2020/5/6,8.5,13.1,5.4
2020/5/7,5.9,11.3,0.9
2020/5/8,9.2,18.0,-0.4
2020/5/9,9.4,14.9,5.0
2020/5/10,15.0,20.9,6.7
2020/5/11,16.8,22.8,10.2
2020/5/12,13.2,18.6,8.1
2020/5/13,12.2,18.4,4.4
2020/5/14,12.4,19.3,5.0
2020/5/15,14.3,21.3,8.6
2020/5/16,11.4,13.8,9.4
2020/5/17,15.9,22.7,9.3
2020/5/18,12.6,14.7,11.0
2020/5/19,11.9,14.8,9.3
2020/5/20,7.9,10.7,4.9
2020/5/21,5.8,7.0,4.8
2020/5/22,8.4,11.9,6.0
2020/5/23,12.1,17.5,6.7
2020/5/24,12.5,17.5,10.5
2020/5/25,14.2,19.7,9.2
2020/5/26,13.3,19.2,10.1
2020/5/27,13.2,20.6,9.3
2020/5/28,11.7,19.3,6.0
2020/5/29,12.1,18.3,5.3
2020/5/30,14.1,21.1,8.6
2020/5/31,11.7,15.4,9.4
2020/6/1,11.8,14.1,9.8
2020/6/2,15.9,22.0,12.5
2020/6/3,16.4,21.7,11.3
2020/6/4,16.3,21.7,11.6
2020/6/5,18.3,23.6,12.3
2020/6/6,16.4,20.7,12.8
