年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2020/1/1,-0.2,4.4,-3.2
2020/1/2,-0.3,3.6,-3.6
2020/1/3,0.2,5.9,-4.1
2020/1/4,-0.6,2.7,-3.6
2020/1/5,-1.3,0.3,-2.9
2020/1/6,0.5,5.1,-2.6
2020/1/7,-0.6,3.1,-4.2
2020/1/8,3.0,8.7,-0.1
2020/1/9,2.6,7.5,-1.5
2020/1/10,0.6,6.5,-3.6
2020/1/11,0.0,3.6,-4.1
2020/1/12,1.8,6.6,-1.9
2020/1/13,1.5,7.5,-2.1
2020/1/14,1.2,5.8,-2.8
2020/1/15,0.7,3.9,-1.7
2020/1/16,-0.8,2.5,-3.7
2020/1/17,-0.9,3.8,-4.7
2020/1/18,-2.0,-0.3,-4.2
2020/1/19,-0.1,4.1,-3.5
2020/1/20,2.4,5.1,-1.8
2020/1/21,-1.7,3.2,-6.1
2020/1/22,-1.5,2.9,-7.3
2020/1/23,3.5,6.9,-1.0
2020/1/24,3.6,8.1,0.0
2020/1/25,-0.6,4.2,-4.1
2020/1/26,1.1,6.6,-2.6
2020/1/27,-1.2,2.5,-3.9
2020/1/28,0.6,2.8,-1.9
2020/1/29,4.6,8.7,1.9
2020/1/30,4.6,9.4,-0.5
2020/1/31,0.0,3.0,-1.6
2020/2/1,0.5,3.3,-1.5
2020/2/2,0.3,3.2,-2.8
2020/2/3,2.4,8.4,-4.2
2020/2/4,0.2,6.1,-2.2
2020/2/5,-1.1,6.3,-6.6
2020/2/6,-7.5,-5.3,-11.4
2020/2/7,-5.4,1.3,-12.0
2020/2/8,-1.9,1.3,-6.6
2020/2/9,-5.5,-3.5,-7.6
2020/2/10,-2.3,2.5,-7.5
2020/2/11,-2.3,2.1,-5.2
2020/2/12,1.9,9.9,-6.3
2020/2/13,7.9,15.0,1.5
2020/2/14,8.1,12.2,2.7
2020/2/15,7.1,13.2,2.2
2020/2/16,4.1,7.8,2.2
2020/2/17,3.6,7.3,-0.9
2020/2/18,-1.2,0.5,-2.7
2020/2/19,0.3,3.3,-2.7
2020/2/20,2.0,6.7,-2.4
2020/2/21,2.7,8.5,-2.7
2020/2/22,5.9,11.1,2.2
2020/2/23,0.3,3.5,-1.2
2020/2/24,3.7,8.2,0.0
2020/2/25,4.5,8.6,1.0
2020/2/26,1.1,4.1,-1.5
2020/2/27,-2.0,0.1,-4.4
2020/2/28,-1.5,2.1,-4.0
2020/2/29,2.0,6.8,-3.0
2020/3/1,3.7,8.7,-1.1
2020/3/2,0.9,4.4,-1.1
2020/3/3,3.4,8.7,-0.6
2020/3/4,2.5,5.6,0.6
2020/3/5,0.6,4.4,-2.6
2020/3/6,-0.5,3.2,-4.5
2020/3/7,0.9,7.2,-5.5
2020/3/8,2.8,5.1,-0.4
2020/3/9,8.9,15.3,1.5
2020/3/10,10.8,12.5,9.3
2020/3/11,6.5,12.9,1.0
2020/3/12,3.2,9.6,-0.1
