年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1980/1/1,8.1,9.6,7.0
1980/1/2,7.9,10.5,1.6
1980/1/3,8.6,10.8,5.4
1980/1/4,12.3,16.5,8.3
1980/1/5,6.0,9.1,2.0
1980/1/6,7.9,12.0,0.7
1980/1/7,7.4,13.3,1.3
1980/1/8,2.8,6.4,0.1
1980/1/9,5.1,9.0,-0.8
1980/1/10,7.2,12.4,3.2
1980/1/11,4.5,8.3,0.6
1980/1/12,4.9,9.7,-0.3
1980/1/13,5.9,8.5,3.4
1980/1/14,5.9,11.9,1.2
1980/1/15,4.8,10.5,0.3
1980/1/16,4.7,10.4,-0.5
1980/1/17,6.2,10.8,0.1
1980/1/18,3.3,8.0,-0.6
1980/1/19,5.7,9.6,0.4
1980/1/20,7.0,10.8,3.7
1980/1/21,4.2,8.7,1.2
1980/1/22,2.6,7.4,-0.6
1980/1/23,5.1,9.6,-0.8
1980/1/24,5.7,11.3,1.8
1980/1/25,4.0,9.1,0.0
1980/1/26,5.8,10.9,1.2
1980/1/27,8.9,14.5,-0.1
1980/1/28,13.1,16.5,10.4
1980/1/29,10.6,12.0,9.1
1980/1/30,9.7,11.5,8.6
1980/1/31,7.7,10.4,5.0
1980/2/1,4.7,8.2,1.8
1980/2/2,5.5,9.4,2.6
1980/2/3,5.9,10.4,1.0
1980/2/4,7.2,10.5,2.4
1980/2/5,6.5,8.5,4.2
1980/2/6,3.1,6.6,0.3
1980/2/7,3.5,7.5,-0.2
1980/2/8,4.0,6.3,0.5
1980/2/9,5.5,9.5,1.4
1980/2/10,4.9,10.3,0.2
1980/2/11,6.4,10.7,1.7
1980/2/12,5.9,10.3,0.4
1980/2/13,5.3,8.5,1.5
1980/2/14,3.0,5.5,-0.6
1980/2/15,5.1,10.3,0.5
1980/2/16,3.3,8.4,0.3
1980/2/17,2.5,5.4,0.4
1980/2/18,4.4,7.2,-0.8
1980/2/19,5.4,7.1,2.7
1980/2/20,6.0,9.5,1.0
1980/2/21,4.9,8.2,1.8
1980/2/22,3.7,6.1,-0.5
1980/2/23,5.2,8.0,0.7
1980/2/24,7.0,11.1,2.6
1980/2/25,5.7,9.4,1.8
1980/2/26,10.2,13.1,5.2
1980/2/27,9.4,11.8,7.9
1980/2/28,4.4,8.0,2.3
1980/2/29,8.4,11.5,1.8
1980/3/1,10.6,14.1,4.5
1980/3/2,6.6,10.4,2.0
1980/3/3,7.0,8.4,6.2
1980/3/4,8.0,11.6,4.2
1980/3/5,6.9,8.2,6.0
1980/3/6,7.3,8.8,5.1
1980/3/7,11.2,13.9,8.6
1980/3/8,9.0,14.0,6.5
1980/3/9,11.0,14.1,8.1
1980/3/10,11.8,17.6,8.2
1980/3/11,6.1,8.2,4.5
1980/3/12,5.4,9.9,2.3
1980/3/13,6.7,9.6,1.3
1980/3/14,8.3,10.0,6.6
1980/3/15,6.2,8.9,3.3
1980/3/16,7.2,9.8,3.1
1980/3/17,9.7,11.5,5.9
1980/3/18,6.6,9.6,5.1
1980/3/19,5.4,7.0,4.2
1980/3/20,9.8,15.6,3.2
1980/3/21,9.2,10.3,8.5
1980/3/22,5.4,8.5,4.4
1980/3/23,6.2,9.0,4.2
1980/3/24,5.2,6.8,3.3
1980/3/25,7.1,9.9,1.8
1980/3/26,9.3,11.5,5.8
1980/3/27,9.3,13.3,4.2
1980/3/28,11.6,13.7,7.9
1980/3/29,14.3,17.5,8.5
1980/3/30,15.0,17.6,12.3
1980/3/31,14.6,17.0,8.9
1980/4/1,11.7,17.0,8.1
1980/4/2,10.5,13.1,8.3
1980/4/3,8.8,11.0,5.9
1980/4/4,12.5,16.9,4.7
1980/4/5,15.8,18.1,12.4
1980/4/6,16.8,18.1,15.8
1980/4/7,11.7,16.9,9.9
1980/4/8,13.5,16.7,7.1
1980/4/9,15.2,18.2,12.4
1980/4/10,9.5,12.8,7.9
1980/4/11,13.1,16.7,7.4
1980/4/12,16.7,19.4,14.2
1980/4/13,16.7,17.9,15.0
1980/4/14,15.9,18.9,10.1
1980/4/15,8.8,10.4,8.0
1980/4/16,10.0,11.7,8.9
1980/4/17,8.8,10.5,7.0
1980/4/18,10.6,13.4,5.4
1980/4/19,15.1,18.3,8.6
1980/4/20,16.9,18.4,15.4
1980/4/21,15.1,17.9,11.4
1980/4/22,13.8,15.1,12.5
1980/4/23,15.1,18.9,10.4
1980/4/24,12.4,14.2,10.0
1980/4/25,11.0,12.2,9.6
1980/4/26,12.3,14.4,10.3
1980/4/27,14.6,18.4,9.3
1980/4/28,16.3,22.6,13.9
1980/4/29,13.7,16.0,12.2
1980/4/30,15.1,17.4,10.9
1980/5/1,13.6,17.3,11.4
1980/5/2,13.8,15.8,10.8
1980/5/3,16.5,19.6,10.9
1980/5/4,18.5,21.2,15.4
1980/5/5,18.4,22.5,15.0
1980/5/6,16.3,21.4,12.0
1980/5/7,13.6,17.0,9.9
1980/5/8,16.0,18.9,13.2
1980/5/9,16.8,21.0,15.5
1980/5/10,15.1,17.1,11.6
1980/5/11,18.7,23.9,15.0
1980/5/12,19.9,23.3,13.4
1980/5/13,19.0,21.8,16.5
1980/5/14,19.5,23.2,14.6
1980/5/15,20.1,21.3,19.3
1980/5/16,13.5,19.6,11.9
1980/5/17,15.4,17.5,12.2
1980/5/18,15.0,16.6,13.3
1980/5/19,17.2,21.4,12.5
1980/5/20,18.8,21.4,14.4
1980/5/21,20.2,23.7,15.5
1980/5/22,18.7,22.0,15.5
1980/5/23,19.4,23.0,14.9
1980/5/24,20.0,22.3,18.4
1980/5/25,20.2,22.8,18.2
1980/5/26,19.7,20.6,17.4
1980/5/27,17.8,20.6,14.0
1980/5/28,19.1,21.5,17.5
1980/5/29,19.8,23.4,16.1
1980/5/30,20.6,24.0,18.0
1980/5/31,21.4,24.2,19.7
1980/6/1,19.6,21.2,17.9
1980/6/2,20.8,24.4,18.4
1980/6/3,20.9,22.6,19.3
1980/6/4,19.7,21.9,17.6
1980/6/5,20.6,24.8,17.0
1980/6/6,21.3,24.4,18.4
1980/6/7,22.3,26.3,18.7
1980/6/8,21.4,25.1,19.2
1980/6/9,20.8,22.2,19.4
1980/6/10,19.5,21.6,17.8
1980/6/11,20.2,23.9,17.7
1980/6/12,21.9,25.6,18.0
1980/6/13,21.3,23.4,19.4
1980/6/14,21.8,25.1,19.2
1980/6/15,23.1,27.3,20.6
1980/6/16,22.2,25.7,20.1
1980/6/17,21.7,24.3,19.4
1980/6/18,22.6,26.4,20.0
1980/6/19,20.0,23.2,18.3
1980/6/20,19.3,21.4,18.3
1980/6/21,18.6,19.3,18.0
1980/6/22,20.3,23.2,18.2
1980/6/23,22.6,25.7,19.0
1980/6/24,23.2,25.7,21.5
1980/6/25,23.7,26.9,20.3
1980/6/26,23.6,25.6,21.7
1980/6/27,23.6,27.5,21.7
1980/6/28,23.0,27.5,21.0
1980/6/29,20.4,21.3,18.8
1980/6/30,19.0,20.6,18.1
1980/7/1,18.4,19.7,17.9
1980/7/2,18.0,18.9,16.9
1980/7/3,19.8,22.3,16.3
1980/7/4,21.9,25.3,18.9
1980/7/5,20.5,23.0,18.8
1980/7/6,21.1,22.9,19.6
1980/7/7,21.5,26.0,19.4
1980/7/8,20.2,23.0,19.1
1980/7/9,19.4,20.4,18.9
1980/7/10,22.0,25.7,19.2
1980/7/11,21.9,23.7,20.7
1980/7/12,21.1,24.5,19.0
1980/7/13,21.6,24.5,18.8
1980/7/14,23.8,26.9,19.9
1980/7/15,24.1,29.0,20.2
1980/7/16,20.5,22.4,19.7
1980/7/17,20.4,22.3,19.1
1980/7/18,21.0,22.4,19.5
1980/7/19,23.3,25.3,22.2
1980/7/20,23.5,27.3,21.0
1980/7/21,24.7,27.8,21.5
1980/7/22,25.6,29.0,23.4
1980/7/23,25.2,27.9,23.5
1980/7/24,24.8,27.0,23.5
1980/7/25,24.4,27.1,22.1
1980/7/26,22.2,23.9,21.0
